y_test1,y_predict_FNN
60.16214813,59.6
36.44661433,58.33
44.28855177,58.86
52.95290369,59.47
93.74033372,58.41
54.85212343,59.09
78.73205511,59.61
78.73205511,59.0
78.57644087,59.16
89.90494986,60.46
63.6649491,58.01
72.62027968,60.09
56.18885178,63.21
103.3228547,59.02
91.85652704,59.05
54.49246879,59.05
61.11052919,58.76
53.54119063,59.26
62.0045632,58.63
33.27929799,58.92
64.36859318,58.39
67.87849673,58.26
68.79744324,62.95
65.90985037,62.03
82.75327777,59.75
56.02909753,60.0
70.07270036,61.53
88.89255531,58.72
77.50819277,58.42
94.94910831,57.74
56.46038632,58.17
91.6809313,59.45
70.7142255,58.18
73.82455574,58.15
73.82455574,60.28
32.68185115,59.09
70.31269587,58.94
54.91394346,57.42
61.58137809,63.76
59.73043815,62.39
54.01311185,59.05
58.65852985,59.61
75.37640814,58.57
48.35725675,59.66
48.35725675,59.96
41.12138241,58.4
66.82012406,58.68
60.05829023,59.61
47.01288944,62.38
78.93309631,59.68
80.60477634,60.05
69.29225204,58.54
95.38266214,59.75
68.47419413,59.76
55.5289486,62.51
76.31069468,55.8
66.03724574,59.23
87.08391927,59.15
60.77385711,60.97
53.30375957,61.27
82.05440434,58.92
104.3732501,59.4
48.35824968,59.21
108.2652268,58.52
55.50773876,59.66
66.86450108,58.88
69.01623971,58.75
69.01623971,57.17
49.65855359,57.13
58.35685104,58.19
60.43501604,59.93
74.71867577,58.77
76.09446944,58.47
76.09446944,57.36
75.90307215,63.49
75.25621195,59.92
77.87921906,58.15
51.48535051,58.97
60.43603209,59.67
67.64606592,58.67
65.49992502,58.99
57.82202269,61.39
57.82202269,59.39
46.62929867,59.42
86.30823645,58.73
86.30823645,61.5
46.34586378,60.17
51.53496489,60.69
69.67003777,61.25
74.19399492,58.49
58.76861279,60.26
61.07370993,61.97
60.0778524,60.2
92.64338257,59.3
57.6830675,60.21
85.11419625,60.62
44.1493478,60.7
64.23094246,60.37
33.38035359,60.89
51.55946462,61.19
53.14497859,62.38
69.04715948,59.57
99.99628571,60.14
75.55521877,59.95
57.15095807,59.82
75.6713294,59.94
75.57505559,61.1
87.83904965,58.71
77.37381255,59.64
49.90089917,60.27
55.98979616,58.66
68.82704725,58.71
62.55789982,58.43
33.56304028,60.62
47.93510493,58.01
57.3655411,61.03
23.075806,57.9
61.79901424,58.26
60.45776434,56.88
59.99855416,63.46
36.33519851,60.31
61.36442099,61.31
68.38761309,59.57
58.83920331,60.86
59.65920946,58.39
74.40270156,60.53
69.50852573,58.88
84.93140178,61.3
91.06635625,60.76
39.49726396,59.53
54.08109392,59.64
74.99251991,56.56
58.21980043,60.7
41.75372741,59.16
49.58557272,60.54
47.64001392,59.65
64.39052126,60.33
64.39052126,60.8
74.43538862,60.41
70.20673966,60.86
69.59080593,59.85
32.92072036,60.34
74.51256519,59.03
73.21799019,61.08
62.6344489,60.04
63.41678671,60.31
61.57846145,59.65
55.61776001,59.88
53.31304555,60.6
45.64738763,60.24
86.12861265,58.62
81.15923928,56.5
59.18318961,59.07
52.0338449,60.48
46.86138395,61.3
72.34381221,59.59
67.84484886,61.63
52.24851658,59.98
86.69545111,58.54
53.15076474,60.01
80.69821422,59.41
80.69821422,58.84
85.34558485,61.76
85.34558485,62.15
87.13187299,60.69
65.39948447,59.81
79.85232988,60.76
51.55230078,60.08
39.9780961,61.24
70.2933387,62.64
65.63932808,62.09
89.91991552,59.58
83.76265319,58.43
39.80417883,58.98
67.00909817,61.52
52.28948388,58.93
51.62521311,59.5
64.62494421,57.69
68.60840187,58.66
69.26812044,66.47
85.68083615,60.55
46.1391826,60.53
76.12635153,60.19
74.98493714,60.32
77.52343002,60.7
71.15328466,62.04
79.697764,59.51
61.52068662,59.78
58.35485589,59.99
63.29358452,62.56
63.29358452,59.01
70.79303618,59.87
70.79303618,60.3
87.39912189,59.22
51.87695476,61.59
51.35305214,61.67
68.89062012,60.61
45.30653878,60.35
67.96334191,60.56
68.91033739,59.99
82.49259499,58.71
52.15778717,60.45
77.22700303,61.11
62.74338338,60.64
57.53065851,59.65
84.25426404,57.96
52.95002327,59.5
103.38021,60.28
62.32004847,58.58
68.23338555,57.9
76.64573393,60.94
64.36379306,61.03
60.52159304,59.64
50.65500083,62.33
69.39441775,60.97
55.89391551,61.5
81.28838221,60.04
78.50227064,59.88
69.41228382,58.98
57.20308922,58.62
79.39400835,59.61
72.09361001,59.23
66.73504403,60.52
71.9838514,58.5
84.31540019,59.61
69.99012794,59.77
78.58753831,60.33
63.82601002,59.89
58.17625506,57.16
46.65542923,56.53
101.4668252,60.97
77.53204198,59.48
61.15932665,57.41
67.16981627,60.3
75.8861599,57.12
68.59982979,60.82
52.11270716,58.28
78.87860429,59.91
61.51434191,58.05
65.78245304,57.51
64.36111583,57.68
92.34737526,60.48
74.4485589,58.77
52.57745109,59.97
90.22484434,59.09
48.46358838,59.93
